origin1;origin2;origin3;origin4;religion1;religion2;religion3;religion4;location
Japan;Uzbekistan;Greece;Thailand;Shintoist;Muslim;Christian;Budhist;Thailand
Uzbekistan;Thailand;Japan;South Africa;Muslim;Budhist;Shintoist;Christian;Thailand
Uzbekistan;Italy;Thailand;Japan;Muslim;Christian;Budhist;Shintoist;Japan
Uzbekistan;Nigeria;Thailand;Japan;Muslim;Christian;Budhist;Shintoist;Nigeria
Thailand;Uzbekistan;Japan;France;Budhist;Muslim;Shintoist;Christian;Thailand
Thailand;Germany;Uzbekistan;Japan;Budhist;Christian;Muslim;Shintoist;Germany
Uzbekistan;Greece;Vietnam;Japan;Muslim;Christian;Budhist;Shintoist;Japan
Japan;South Africa;Uzbekistan;Vietnam;Shintoist;Christian;Muslim;Budhist;Japan
Japan;Italy;Uzbekistan;Vietnam;Shintoist;Christian;Muslim;Budhist;Japan
Japan;Vietnam;Nigeria;Uzbekistan;Shintoist;Budhist;Christian;Muslim;Uzbekistan
Uzbekistan;Japan;France;Vietnam;Muslim;Shintoist;Christian;Budhist;Uzbekistan
Japan;Uzbekistan;Vietnam;Germany;Shintoist;Muslim;Budhist;Christian;Uzbekistan
Korea (South);India;Uzbekistan;Thailand;Christian;Hindu;Muslim;Budhist;India
Korea (South);Vietnam;Uzbekistan;India;Christian;Budhist;Muslim;Hindu;Uzbekistan
Thailand;Nepal;Uzbekistan;Korea (South);Budhist;Hindu;Muslim;Christian;Uzbekistan
Nepal;Vietnam;Uzbekistan;Korea (South);Hindu;Budhist;Muslim;Christian;Nepal
India;Thailand;Romania;Uzbekistan;Hindu;Budhist;Christian;Muslim;Romania
India;Romania;Uzbekistan;Vietnam;Hindu;Christian;Muslim;Budhist;Vietnam
Romania;Uzbekistan;Nepal;Thailand;Christian;Muslim;Hindu;Budhist;Nepal
Uzbekistan;Vietnam;Romania;Nepal;Muslim;Budhist;Christian;Hindu;Uzbekistan
India;Thailand;Uzbekistan;Russian Federation;Hindu;Budhist;Muslim;Christian;Thailand
Vietnam;India;Uzbekistan;Russian Federation;Budhist;Hindu;Muslim;Christian;Vietnam
Nepal;Russian Federation;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;Uzbekistan
Uzbekistan;Vietnam;Russian Federation;Nepal;Muslim;Budhist;Christian;Hindu;Uzbekistan
Ukraine;Uzbekistan;Thailand;India;Christian;Muslim;Budhist;Hindu;India
Vietnam;Uzbekistan;Ukraine;India;Budhist;Muslim;Christian;Hindu;Uzbekistan
Nepal;Ukraine;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;Ukraine
Vietnam;Nepal;Uzbekistan;Ukraine;Budhist;Hindu;Muslim;Christian;Vietnam
India;Uzbekistan;Thailand;Mexico;Hindu;Muslim;Budhist;Christian;India
Vietnam;India;Uzbekistan;Mexico;Budhist;Hindu;Muslim;Christian;Mexico
Thailand;Mexico;Uzbekistan;Nepal;Budhist;Christian;Muslim;Hindu;Thailand
Uzbekistan;Mexico;Vietnam;Nepal;Muslim;Christian;Budhist;Hindu;Uzbekistan
Thailand;Canada;India;Uzbekistan;Budhist;Christian;Hindu;Muslim;Canada
Vietnam;Canada;India;Uzbekistan;Budhist;Christian;Hindu;Muslim;Canada
Thailand;Canada;Uzbekistan;Nepal;Budhist;Christian;Muslim;Hindu;Nepal
Vietnam;Nepal;Uzbekistan;Canada;Budhist;Hindu;Muslim;Christian;Vietnam
Thailand;India;Uzbekistan;United States of America;Budhist;Hindu;Muslim;Christian;United States of America
United States of America;Uzbekistan;Vietnam;India;Christian;Muslim;Budhist;Hindu;India
Thailand;Uzbekistan;United States of America;Nepal;Budhist;Muslim;Christian;Hindu;Nepal
Uzbekistan;United States of America;Vietnam;Nepal;Muslim;Christian;Budhist;Hindu;Vietnam
Uzbekistan;Sweden;India;Thailand;Muslim;Christian;Hindu;Budhist;Uzbekistan
India;Vietnam;Sweden;Uzbekistan;Hindu;Budhist;Christian;Muslim;India
Nepal;Sweden;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;Nepal
Vietnam;Uzbekistan;Sweden;Nepal;Budhist;Muslim;Christian;Hindu;Vietnam
India;Thailand;Uzbekistan;United Kingdom;Hindu;Budhist;Muslim;Christian;India
India;Uzbekistan;Vietnam;United Kingdom;Hindu;Muslim;Budhist;Christian;United Kingdom
Thailand;United Kingdom;Uzbekistan;Nepal;Budhist;Christian;Muslim;Hindu;Uzbekistan
Nepal;Vietnam;Uzbekistan;United Kingdom;Hindu;Budhist;Muslim;Christian;Nepal
Australia;India;Thailand;Uzbekistan;Christian;Hindu;Budhist;Muslim;Australia
Australia;Uzbekistan;India;Vietnam;Christian;Muslim;Hindu;Budhist;India
Australia;Uzbekistan;Nepal;Thailand;Christian;Muslim;Hindu;Budhist;Uzbekistan
Australia;Uzbekistan;Nepal;Vietnam;Christian;Muslim;Hindu;Budhist;Uzbekistan
Uzbekistan;Thailand;India;Papua New Guinea;Muslim;Budhist;Hindu;Christian;India
Vietnam;India;Papua New Guinea;Uzbekistan;Budhist;Hindu;Christian;Muslim;Uzbekistan
Nepal;Uzbekistan;Papua New Guinea;Thailand;Hindu;Muslim;Christian;Budhist;Nepal
Papua New Guinea;Uzbekistan;Vietnam;Nepal;Christian;Muslim;Budhist;Hindu;Uzbekistan
India;Brazil;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;India
India;Brazil;Vietnam;Uzbekistan;Hindu;Christian;Budhist;Muslim;Brazil
Brazil;Uzbekistan;Thailand;Nepal;Christian;Muslim;Budhist;Hindu;Brazil
Vietnam;Nepal;Uzbekistan;Brazil;Budhist;Hindu;Muslim;Christian;Vietnam
India;Thailand;Uzbekistan;Colombia;Hindu;Budhist;Muslim;Christian;Uzbekistan
India;Vietnam;Uzbekistan;Colombia;Hindu;Budhist;Muslim;Christian;Vietnam
Nepal;Colombia;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;Uzbekistan
Uzbekistan;Vietnam;Colombia;Nepal;Muslim;Budhist;Christian;Hindu;Uzbekistan
India;Uzbekistan;Georgia;Thailand;Hindu;Muslim;Christian;Budhist;Georgia
India;Uzbekistan;Vietnam;Georgia;Hindu;Muslim;Budhist;Christian;Georgia
India;Thailand;Uzbekistan;Greece;Hindu;Budhist;Muslim;Christian;Greece
Thailand;India;South Africa;Uzbekistan;Budhist;Hindu;Christian;Muslim;South Africa
Thailand;Italy;India;Uzbekistan;Budhist;Christian;Hindu;Muslim;Italy
Nigeria;Uzbekistan;Thailand;India;Christian;Muslim;Budhist;Hindu;India
Thailand;Uzbekistan;India;France;Budhist;Muslim;Hindu;Christian;Uzbekistan
India;Uzbekistan;Thailand;Germany;Hindu;Muslim;Budhist;Christian;India
Greece;India;Uzbekistan;Vietnam;Christian;Hindu;Muslim;Budhist;India
Uzbekistan;South Africa;Vietnam;India;Muslim;Christian;Budhist;Hindu;Uzbekistan
India;Vietnam;Uzbekistan;Italy;Hindu;Budhist;Muslim;Christian;Uzbekistan
Uzbekistan;Vietnam;Nigeria;India;Muslim;Budhist;Christian;Hindu;India
Uzbekistan;France;Vietnam;India;Muslim;Christian;Budhist;Hindu;France
Germany;Uzbekistan;Vietnam;India;Christian;Muslim;Budhist;Hindu;Vietnam
Thailand;Georgia;Uzbekistan;Nepal;Budhist;Christian;Muslim;Hindu;Georgia
Nepal;Georgia;Uzbekistan;Vietnam;Hindu;Christian;Muslim;Budhist;Vietnam
Uzbekistan;Nepal;Greece;Thailand;Muslim;Hindu;Christian;Budhist;Uzbekistan
South Africa;Nepal;Uzbekistan;Thailand;Christian;Hindu;Muslim;Budhist;South Africa
Italy;Nepal;Thailand;Uzbekistan;Christian;Hindu;Budhist;Muslim;Thailand
Nigeria;Thailand;Nepal;Uzbekistan;Christian;Budhist;Hindu;Muslim;Uzbekistan
Thailand;Uzbekistan;France;Nepal;Budhist;Muslim;Christian;Hindu;Thailand
Thailand;Nepal;Germany;Uzbekistan;Budhist;Hindu;Christian;Muslim;Nepal
Greece;Uzbekistan;Vietnam;Nepal;Christian;Muslim;Budhist;Hindu;Uzbekistan
South Africa;Vietnam;Uzbekistan;Nepal;Christian;Budhist;Muslim;Hindu;Uzbekistan
Italy;Nepal;Vietnam;Uzbekistan;Christian;Hindu;Budhist;Muslim;Italy
Nepal;Uzbekistan;Nigeria;Vietnam;Hindu;Muslim;Christian;Budhist;Nepal
Uzbekistan;Vietnam;France;Nepal;Muslim;Budhist;Christian;Hindu;Vietnam
Vietnam;Uzbekistan;Nepal;Germany;Budhist;Muslim;Hindu;Christian;Uzbekistan
China;Iran;India;Czechia;Non-religious;Muslim;Hindu;Christian;India
Czechia;Nepal;Iran;China;Christian;Hindu;Muslim;Non-religious;Czechia
Thailand;Czechia;China;Iran;Budhist;Christian;Non-religious;Muslim;Czechia
Iran;China;Czechia;Vietnam;Muslim;Non-religious;Christian;Budhist;Iran
Iraq;Czechia;India;China;Muslim;Christian;Hindu;Non-religious;India
China;Iraq;Czechia;Nepal;Non-religious;Muslim;Christian;Hindu;Iraq
China;Thailand;Czechia;Iraq;Non-religious;Budhist;Christian;Muslim;Iraq
Iraq;Czechia;Vietnam;China;Muslim;Christian;Budhist;Non-religious;Vietnam
India;Turkey;China;Czechia;Hindu;Muslim;Non-religious;Christian;India
Czechia;Turkey;Nepal;China;Christian;Muslim;Hindu;Non-religious;Czechia
China;Turkey;Thailand;Czechia;Non-religious;Muslim;Budhist;Christian;Turkey
Turkey;Czechia;China;Vietnam;Muslim;Christian;Non-religious;Budhist;Czechia
China;Algeria;India;Czechia;Non-religious;Muslim;Hindu;Christian;Czechia
Nepal;Czechia;China;Algeria;Hindu;Christian;Non-religious;Muslim;Nepal
Algeria;China;Thailand;Czechia;Muslim;Non-religious;Budhist;Christian;Algeria
Czechia;Vietnam;China;Algeria;Christian;Budhist;Non-religious;Muslim;Czechia
China;Egypt;India;Czechia;Non-religious;Muslim;Hindu;Christian;China
China;Czechia;Egypt;Nepal;Non-religious;Christian;Muslim;Hindu;China
Thailand;Egypt;China;Czechia;Budhist;Muslim;Non-religious;Christian;Egypt
Vietnam;Egypt;Czechia;China;Budhist;Muslim;Christian;Non-religious;China
Sudan;China;Czechia;India;Muslim;Non-religious;Christian;Hindu;China
Sudan;Czechia;Nepal;China;Muslim;Christian;Hindu;Non-religious;Nepal
Sudan;China;Thailand;Czechia;Muslim;Non-religious;Budhist;Christian;China
China;Vietnam;Sudan;Czechia;Non-religious;Budhist;Muslim;Christian;Sudan
Bangladesh;Thailand;Czechia;China;Muslim;Budhist;Christian;Non-religious;China
China;Bangladesh;Vietnam;Czechia;Non-religious;Muslim;Budhist;Christian;Bangladesh
India;Czechia;China;Thailand;Hindu;Christian;Non-religious;Budhist;Czechia
India;China;Czechia;Vietnam;Hindu;Non-religious;Christian;Budhist;China
Thailand;China;Czechia;Nepal;Budhist;Non-religious;Christian;Hindu;Czechia
Czechia;China;Nepal;Vietnam;Christian;Non-religious;Hindu;Budhist;Czechia
Czechia;Thailand;Pakistan;China;Christian;Budhist;Muslim;Non-religious;Pakistan
China;Pakistan;Czechia;Vietnam;Non-religious;Muslim;Christian;Budhist;Vietnam
Iran;India;Czechia;Japan;Muslim;Hindu;Christian;Shintoist;India
Nepal;Japan;Iran;Czechia;Hindu;Shintoist;Muslim;Christian;Iran
Iran;Thailand;Japan;Czechia;Muslim;Budhist;Shintoist;Christian;Japan
Vietnam;Iran;Japan;Czechia;Budhist;Muslim;Shintoist;Christian;Iran
India;Iraq;Japan;Czechia;Hindu;Muslim;Shintoist;Christian;India
Czechia;Iraq;Nepal;Japan;Christian;Muslim;Hindu;Shintoist;Nepal
Iraq;Thailand;Czechia;Japan;Muslim;Budhist;Christian;Shintoist;Japan
Vietnam;Iraq;Czechia;Japan;Budhist;Muslim;Christian;Shintoist;Czechia
Turkey;India;Czechia;Japan;Muslim;Hindu;Christian;Shintoist;Japan
Czechia;Nepal;Japan;Turkey;Christian;Hindu;Shintoist;Muslim;Turkey
Japan;Thailand;Czechia;Turkey;Shintoist;Budhist;Christian;Muslim;Czechia
Japan;Czechia;Turkey;Vietnam;Shintoist;Christian;Muslim;Budhist;Vietnam
India;Czechia;Japan;Algeria;Hindu;Christian;Shintoist;Muslim;Algeria
Japan;Algeria;Czechia;Nepal;Shintoist;Muslim;Christian;Hindu;Nepal
Czechia;Thailand;Japan;Algeria;Christian;Budhist;Shintoist;Muslim;Thailand
Algeria;Czechia;Japan;Vietnam;Muslim;Christian;Shintoist;Budhist;Japan
Japan;Egypt;Czechia;India;Shintoist;Muslim;Christian;Hindu;Czechia
Nepal;Japan;Egypt;Czechia;Hindu;Shintoist;Muslim;Christian;Japan
Japan;Thailand;Egypt;Czechia;Shintoist;Budhist;Muslim;Christian;Japan
Vietnam;Japan;Czechia;Egypt;Budhist;Shintoist;Christian;Muslim;Egypt
India;Sudan;Japan;Czechia;Hindu;Muslim;Shintoist;Christian;Sudan
Czechia;Sudan;Japan;Nepal;Christian;Muslim;Shintoist;Hindu;Czechia
Czechia;Sudan;Thailand;Japan;Christian;Muslim;Budhist;Shintoist;Sudan
Czechia;Sudan;Vietnam;Japan;Christian;Muslim;Budhist;Shintoist;Vietnam
Japan;Bangladesh;Thailand;Czechia;Shintoist;Muslim;Budhist;Christian;Czechia
Japan;Bangladesh;Czechia;Vietnam;Shintoist;Muslim;Christian;Budhist;Czechia
Czechia;India;Japan;Thailand;Christian;Hindu;Shintoist;Budhist;Japan
Czechia;Vietnam;Japan;India;Christian;Budhist;Shintoist;Hindu;Czechia
Nepal;Japan;Thailand;Czechia;Hindu;Shintoist;Budhist;Christian;Nepal
Czechia;Nepal;Japan;Vietnam;Christian;Hindu;Shintoist;Budhist;Japan
Czechia;Pakistan;Thailand;Japan;Christian;Muslim;Budhist;Shintoist;Thailand
Pakistan;Vietnam;Czechia;Japan;Muslim;Budhist;Christian;Shintoist;Pakistan
Iran;India;Czechia;Thailand;Muslim;Hindu;Christian;Budhist;India
India;Vietnam;Iran;Czechia;Hindu;Budhist;Muslim;Christian;Vietnam
Iran;Thailand;Nepal;Czechia;Muslim;Budhist;Hindu;Christian;Czechia
Czechia;Nepal;Iran;Vietnam;Christian;Hindu;Muslim;Budhist;Nepal
Thailand;India;Iraq;Czechia;Budhist;Hindu;Muslim;Christian;Iraq
Vietnam;Iraq;India;Czechia;Budhist;Muslim;Hindu;Christian;Czechia
Iraq;Czechia;Thailand;Nepal;Muslim;Christian;Budhist;Hindu;Czechia
Nepal;Iraq;Vietnam;Czechia;Hindu;Muslim;Budhist;Christian;Iraq
Czechia;Thailand;India;Turkey;Christian;Budhist;Hindu;Muslim;Turkey
Czechia;Vietnam;Turkey;India;Christian;Budhist;Muslim;Hindu;Vietnam
Turkey;Czechia;Nepal;Thailand;Muslim;Christian;Hindu;Budhist;Thailand
Turkey;Vietnam;Nepal;Czechia;Muslim;Budhist;Hindu;Christian;Czechia
Algeria;India;Thailand;Czechia;Muslim;Hindu;Budhist;Christian;Algeria
Algeria;Czechia;Vietnam;India;Muslim;Christian;Budhist;Hindu;Algeria
Nepal;Czechia;Thailand;Algeria;Hindu;Christian;Budhist;Muslim;Thailand
Vietnam;Czechia;Nepal;Algeria;Budhist;Christian;Hindu;Muslim;Czechia
India;Czechia;Thailand;Egypt;Hindu;Christian;Budhist;Muslim;Czechia
India;Egypt;Vietnam;Czechia;Hindu;Muslim;Budhist;Christian;Vietnam
Nepal;Thailand;Czechia;Egypt;Hindu;Budhist;Christian;Muslim;Czechia
Nepal;Egypt;Vietnam;Czechia;Hindu;Muslim;Budhist;Christian;Nepal
India;Thailand;Czechia;Sudan;Hindu;Budhist;Christian;Muslim;Thailand
Sudan;Czechia;Vietnam;India;Muslim;Christian;Budhist;Hindu;India
Sudan;Nepal;Thailand;Czechia;Muslim;Hindu;Budhist;Christian;Czechia
Sudan;Nepal;Czechia;Vietnam;Muslim;Hindu;Christian;Budhist;Sudan
Poland;India;Iran;China;Christian;Hindu;Muslim;Non-religious;India
Iran;Poland;China;Nepal;Muslim;Christian;Non-religious;Hindu;China
Iran;Poland;Thailand;China;Muslim;Christian;Budhist;Non-religious;Thailand
Vietnam;China;Iran;Poland;Budhist;Non-religious;Muslim;Christian;Iran
Poland;Iraq;India;China;Christian;Muslim;Hindu;Non-religious;India
Nepal;Iraq;Poland;China;Hindu;Muslim;Christian;Non-religious;Nepal
Iraq;China;Poland;Thailand;Muslim;Non-religious;Christian;Budhist;Iraq
Poland;China;Iraq;Vietnam;Christian;Non-religious;Muslim;Budhist;Iraq
China;India;Poland;Turkey;Non-religious;Hindu;Christian;Muslim;Poland
Turkey;China;Poland;Nepal;Muslim;Non-religious;Christian;Hindu;Poland
Turkey;Poland;Thailand;China;Muslim;Christian;Budhist;Non-religious;China
Turkey;Vietnam;China;Poland;Muslim;Budhist;Non-religious;Christian;China
India;Poland;Algeria;China;Hindu;Christian;Muslim;Non-religious;Algeria
Algeria;Poland;China;Nepal;Muslim;Christian;Non-religious;Hindu;Poland
Algeria;China;Poland;Thailand;Muslim;Non-religious;Christian;Budhist;China
Poland;China;Vietnam;Algeria;Christian;Non-religious;Budhist;Muslim;China
China;India;Poland;Egypt;Non-religious;Hindu;Christian;Muslim;Poland
Nepal;China;Egypt;Poland;Hindu;Non-religious;Muslim;Christian;Egypt
Egypt;China;Poland;Thailand;Muslim;Non-religious;Christian;Budhist;Egypt
Vietnam;China;Egypt;Poland;Budhist;Non-religious;Muslim;Christian;China
China;Sudan;India;Poland;Non-religious;Muslim;Hindu;Christian;India
China;Poland;Nepal;Sudan;Non-religious;Christian;Hindu;Muslim;Nepal
Poland;Sudan;Thailand;China;Christian;Muslim;Budhist;Non-religious;Sudan
China;Poland;Vietnam;Sudan;Non-religious;Christian;Budhist;Muslim;Sudan
Bangladesh;Thailand;China;Poland;Muslim;Budhist;Non-religious;Christian;Thailand
Bangladesh;Poland;Vietnam;China;Muslim;Christian;Budhist;Non-religious;China
Poland;India;China;Thailand;Christian;Hindu;Non-religious;Budhist;Poland
India;Vietnam;Poland;China;Hindu;Budhist;Christian;Non-religious;Poland
China;Poland;Nepal;Thailand;Non-religious;Christian;Hindu;Budhist;Thailand
China;Vietnam;Poland;Nepal;Non-religious;Budhist;Christian;Hindu;Poland
Pakistan;China;Thailand;Poland;Muslim;Non-religious;Budhist;Christian;China
China;Poland;Vietnam;Pakistan;Non-religious;Christian;Budhist;Muslim;Vietnam
Japan;Poland;Iran;India;Shintoist;Christian;Muslim;Hindu;Poland
Japan;Poland;Nepal;Iran;Shintoist;Christian;Hindu;Muslim;Poland
Thailand;Japan;Poland;Iran;Budhist;Shintoist;Christian;Muslim;Poland
Japan;Vietnam;Poland;Iran;Shintoist;Budhist;Christian;Muslim;Poland
Japan;Iraq;Poland;India;Shintoist;Muslim;Christian;Hindu;Poland
Iraq;Nepal;Poland;Japan;Muslim;Hindu;Christian;Shintoist;Iraq
Japan;Iraq;Thailand;Poland;Shintoist;Muslim;Budhist;Christian;Thailand
Poland;Japan;Vietnam;Iraq;Christian;Shintoist;Budhist;Muslim;Japan
Poland;Turkey;Japan;India;Christian;Muslim;Shintoist;Hindu;Japan
Japan;Poland;Turkey;Nepal;Shintoist;Christian;Muslim;Hindu;Turkey
Poland;Japan;Turkey;Thailand;Christian;Shintoist;Muslim;Budhist;Japan
Vietnam;Poland;Turkey;Japan;Budhist;Christian;Muslim;Shintoist;Vietnam
India;Poland;Algeria;Japan;Hindu;Christian;Muslim;Shintoist;Algeria
Algeria;Poland;Nepal;Japan;Muslim;Christian;Hindu;Shintoist;Nepal
Poland;Algeria;Thailand;Japan;Christian;Muslim;Budhist;Shintoist;Poland
Japan;Vietnam;Poland;Algeria;Shintoist;Budhist;Christian;Muslim;Japan
India;Japan;Poland;Egypt;Hindu;Shintoist;Christian;Muslim;Japan
Poland;Nepal;Egypt;Japan;Christian;Hindu;Muslim;Shintoist;Nepal
Thailand;Poland;Egypt;Japan;Budhist;Christian;Muslim;Shintoist;Japan
Japan;Poland;Vietnam;Egypt;Shintoist;Christian;Budhist;Muslim;Japan
India;Poland;Sudan;Japan;Hindu;Christian;Muslim;Shintoist;Sudan
Nepal;Poland;Sudan;Japan;Hindu;Christian;Muslim;Shintoist;Japan
Sudan;Japan;Poland;Thailand;Muslim;Shintoist;Christian;Budhist;Japan
Vietnam;Japan;Poland;Sudan;Budhist;Shintoist;Christian;Muslim;Poland
Poland;Japan;Bangladesh;Thailand;Christian;Shintoist;Muslim;Budhist;Poland
Bangladesh;Poland;Vietnam;Japan;Muslim;Christian;Budhist;Shintoist;Bangladesh
Poland;India;Japan;Thailand;Christian;Hindu;Shintoist;Budhist;India
Poland;India;Japan;Vietnam;Christian;Hindu;Shintoist;Budhist;India
Poland;Japan;Nepal;Thailand;Christian;Shintoist;Hindu;Budhist;Nepal
Japan;Poland;Vietnam;Nepal;Shintoist;Christian;Budhist;Hindu;Vietnam
Pakistan;Japan;Thailand;Poland;Muslim;Shintoist;Budhist;Christian;Japan
Poland;Japan;Pakistan;Vietnam;Christian;Shintoist;Muslim;Budhist;Poland
India;Iran;Thailand;Poland;Hindu;Muslim;Budhist;Christian;India
Iran;Vietnam;India;Poland;Muslim;Budhist;Hindu;Christian;Iran
Nepal;Poland;Iran;Thailand;Hindu;Christian;Muslim;Budhist;Nepal
Nepal;Vietnam;Iran;Poland;Hindu;Budhist;Muslim;Christian;Iran
Poland;Iraq;Thailand;India;Christian;Muslim;Budhist;Hindu;India
India;Poland;Vietnam;Iraq;Hindu;Christian;Budhist;Muslim;Poland
Poland;Iraq;Thailand;Nepal;Christian;Muslim;Budhist;Hindu;Iraq
Nepal;Iraq;Poland;Vietnam;Hindu;Muslim;Christian;Budhist;Vietnam
Thailand;Turkey;Poland;India;Budhist;Muslim;Christian;Hindu;Turkey
India;Turkey;Vietnam;Poland;Hindu;Muslim;Budhist;Christian;Vietnam
Thailand;Nepal;Turkey;Poland;Budhist;Hindu;Muslim;Christian;Turkey
Vietnam;Nepal;Turkey;Poland;Budhist;Hindu;Muslim;Christian;Turkey
Algeria;India;Poland;Thailand;Muslim;Hindu;Christian;Budhist;Poland
India;Algeria;Poland;Vietnam;Hindu;Muslim;Christian;Budhist;Vietnam
Thailand;Nepal;Algeria;Poland;Budhist;Hindu;Muslim;Christian;Nepal
Algeria;Nepal;Vietnam;Poland;Muslim;Hindu;Budhist;Christian;Vietnam
Egypt;Poland;India;Thailand;Muslim;Christian;Hindu;Budhist;Poland
Vietnam;Poland;Egypt;India;Budhist;Christian;Muslim;Hindu;Egypt
Nepal;Poland;Egypt;Thailand;Hindu;Christian;Muslim;Budhist;Egypt
Poland;Egypt;Nepal;Vietnam;Christian;Muslim;Hindu;Budhist;Vietnam
Sudan;Poland;Thailand;India;Muslim;Christian;Budhist;Hindu;Poland
India;Vietnam;Sudan;Poland;Hindu;Budhist;Muslim;Christian;Vietnam
Sudan;Nepal;Thailand;Poland;Muslim;Hindu;Budhist;Christian;Thailand
Vietnam;Sudan;Poland;Nepal;Budhist;Muslim;Christian;Hindu;Poland
Ethiopia;China;India;Iran;Christian;Non-religious;Hindu;Muslim;Ethiopia
Ethiopia;Iran;China;Nepal;Christian;Muslim;Non-religious;Hindu;Ethiopia
Ethiopia;Iran;China;Thailand;Christian;Muslim;Non-religious;Budhist;Ethiopia
Vietnam;China;Ethiopia;Iran;Budhist;Non-religious;Christian;Muslim;Iran
India;Iraq;China;Ethiopia;Hindu;Muslim;Non-religious;Christian;India
China;Iraq;Nepal;Ethiopia;Non-religious;Muslim;Hindu;Christian;Nepal
Iraq;China;Ethiopia;Thailand;Muslim;Non-religious;Christian;Budhist;China
China;Ethiopia;Vietnam;Iraq;Non-religious;Christian;Budhist;Muslim;China
India;China;Turkey;Ethiopia;Hindu;Non-religious;Muslim;Christian;Turkey
Turkey;China;Ethiopia;Nepal;Muslim;Non-religious;Christian;Hindu;China
Thailand;Ethiopia;China;Turkey;Budhist;Christian;Non-religious;Muslim;Thailand
China;Ethiopia;Turkey;Vietnam;Non-religious;Christian;Muslim;Budhist;Turkey
Ethiopia;Algeria;India;China;Christian;Muslim;Hindu;Non-religious;Ethiopia
China;Nepal;Ethiopia;Algeria;Non-religious;Hindu;Christian;Muslim;Ethiopia
Algeria;Ethiopia;Thailand;China;Muslim;Christian;Budhist;Non-religious;Algeria
China;Algeria;Ethiopia;Vietnam;Non-religious;Muslim;Christian;Budhist;Vietnam
Ethiopia;India;China;Egypt;Christian;Hindu;Non-religious;Muslim;India
China;Ethiopia;Nepal;Egypt;Non-religious;Christian;Hindu;Muslim;Ethiopia
Thailand;China;Ethiopia;Egypt;Budhist;Non-religious;Christian;Muslim;Egypt
Vietnam;Egypt;Ethiopia;China;Budhist;Muslim;Christian;Non-religious;Vietnam
China;Sudan;Ethiopia;India;Non-religious;Muslim;Christian;Hindu;Sudan
Ethiopia;Sudan;China;Nepal;Christian;Muslim;Non-religious;Hindu;China
China;Sudan;Thailand;Ethiopia;Non-religious;Muslim;Budhist;Christian;China
Ethiopia;Vietnam;Sudan;China;Christian;Budhist;Muslim;Non-religious;Sudan
China;Ethiopia;Thailand;Bangladesh;Non-religious;Christian;Budhist;Muslim;Bangladesh
China;Bangladesh;Ethiopia;Vietnam;Non-religious;Muslim;Christian;Budhist;Vietnam
India;Ethiopia;China;Thailand;Hindu;Christian;Non-religious;Budhist;Ethiopia
Vietnam;Ethiopia;India;China;Budhist;Christian;Hindu;Non-religious;Vietnam
Thailand;China;Nepal;Ethiopia;Budhist;Non-religious;Hindu;Christian;China
Ethiopia;China;Nepal;Vietnam;Christian;Non-religious;Hindu;Budhist;China
Ethiopia;Pakistan;Thailand;China;Christian;Muslim;Budhist;Non-religious;China
China;Pakistan;Vietnam;Ethiopia;Non-religious;Muslim;Budhist;Christian;Pakistan
Japan;India;Iran;Ethiopia;Shintoist;Hindu;Muslim;Christian;India
Ethiopia;Japan;Iran;Nepal;Christian;Shintoist;Muslim;Hindu;Iran
Iran;Ethiopia;Japan;Thailand;Muslim;Christian;Shintoist;Budhist;Ethiopia
Japan;Vietnam;Iran;Ethiopia;Shintoist;Budhist;Muslim;Christian;Vietnam
India;Iraq;Japan;Ethiopia;Hindu;Muslim;Shintoist;Christian;Iraq
Ethiopia;Iraq;Japan;Nepal;Christian;Muslim;Shintoist;Hindu;Japan
Japan;Iraq;Ethiopia;Thailand;Shintoist;Muslim;Christian;Budhist;Ethiopia
Vietnam;Ethiopia;Iraq;Japan;Budhist;Christian;Muslim;Shintoist;Iraq
Japan;Ethiopia;India;Turkey;Shintoist;Christian;Hindu;Muslim;Ethiopia
Nepal;Turkey;Ethiopia;Japan;Hindu;Muslim;Christian;Shintoist;Turkey
Ethiopia;Japan;Thailand;Turkey;Christian;Shintoist;Budhist;Muslim;Thailand
Ethiopia;Turkey;Japan;Vietnam;Christian;Muslim;Shintoist;Budhist;Vietnam
Ethiopia;India;Algeria;Japan;Christian;Hindu;Muslim;Shintoist;Ethiopia
Nepal;Japan;Algeria;Ethiopia;Hindu;Shintoist;Muslim;Christian;Algeria
Japan;Algeria;Ethiopia;Thailand;Shintoist;Muslim;Christian;Budhist;Algeria
Ethiopia;Japan;Vietnam;Algeria;Christian;Shintoist;Budhist;Muslim;Japan
Japan;India;Ethiopia;Egypt;Shintoist;Hindu;Christian;Muslim;Japan
Ethiopia;Japan;Nepal;Egypt;Christian;Shintoist;Hindu;Muslim;Egypt
Thailand;Egypt;Japan;Ethiopia;Budhist;Muslim;Shintoist;Christian;Ethiopia
Japan;Egypt;Ethiopia;Vietnam;Shintoist;Muslim;Christian;Budhist;Ethiopia
Japan;India;Sudan;Ethiopia;Shintoist;Hindu;Muslim;Christian;Japan
